date,year,month,fiscal_year,total,naics_sector
2013-07-31,2013,7,2014,1483241.7728094854,All Other Sectors
2013-08-31,2013,8,2014,1556912.1604776538,All Other Sectors
2013-09-30,2013,9,2014,960865.1376582874,All Other Sectors
2013-10-31,2013,10,2014,950551.2789937549,All Other Sectors
2013-11-30,2013,11,2014,1037395.8704492957,All Other Sectors
2013-12-31,2013,12,2014,970627.8681168731,All Other Sectors
2014-01-31,2014,1,2014,962123.262390048,All Other Sectors
2014-02-28,2014,2,2014,1100092.8414620117,All Other Sectors
2014-03-31,2014,3,2014,976437.7865206178,All Other Sectors
2014-04-30,2014,4,2014,938961.6631804701,All Other Sectors
2014-05-31,2014,5,2014,1148870.202599185,All Other Sectors
2014-06-30,2014,6,2014,1367740.8382916276,All Other Sectors
2014-07-31,2014,7,2015,1538085.272064863,All Other Sectors
2014-08-31,2014,8,2015,1747452.0365645543,All Other Sectors
2014-09-30,2014,9,2015,1066713.4849188107,All Other Sectors
2014-10-31,2014,10,2015,1053870.6703137988,All Other Sectors
2014-11-30,2014,11,2015,1144007.9986983563,All Other Sectors
2014-12-31,2014,12,2015,1064675.7293801184,All Other Sectors
2015-01-31,2015,1,2015,1059311.5354118035,All Other Sectors
2015-02-28,2015,2,2015,1241661.6466930527,All Other Sectors
2015-03-31,2015,3,2015,1046834.8805886132,All Other Sectors
2015-04-30,2015,4,2015,980066.8921799015,All Other Sectors
2015-05-31,2015,5,2015,1298712.26830211,All Other Sectors
2015-06-30,2015,6,2015,1587978.9264487203,All Other Sectors
2015-07-31,2015,7,2016,1571775.384775466,All Other Sectors
2015-08-31,2015,8,2016,1943855.575608619,All Other Sectors
2015-09-30,2015,9,2016,1173643.846000236,All Other Sectors
2015-10-31,2015,10,2016,1157979.079074098,All Other Sectors
2015-11-30,2015,11,2016,1250364.3149775807,All Other Sectors
2015-12-31,2015,12,2016,1157826.620745297,All Other Sectors
2016-01-31,2016,1,2016,1156820.9858987976,All Other Sectors
2016-02-29,2016,2,2016,1253094.0715475625,All Other Sectors
2016-03-31,2016,3,2016,1228154.472101149,All Other Sectors
2016-04-30,2016,4,2016,1242558.689619536,All Other Sectors
2016-05-31,2016,5,2016,1300298.8336338531,All Other Sectors
2016-06-30,2016,6,2016,1439800.7117824755,All Other Sectors
2016-07-31,2016,7,2017,2083049.6374715276,All Other Sectors
2016-08-31,2016,8,2017,2023899.9954740107,All Other Sectors
2016-09-30,2016,9,2017,1258906.826196938,All Other Sectors
2016-10-31,2016,10,2017,1243141.884946123,All Other Sectors
2016-11-30,2016,11,2017,1360012.4404299841,All Other Sectors
2016-12-31,2016,12,2017,1275829.0041997323,All Other Sectors
2017-01-31,2017,1,2017,1256729.382323235,All Other Sectors
2017-02-28,2017,2,2017,1395971.3441571556,All Other Sectors
2017-03-31,2017,3,2017,1300480.4084547365,All Other Sectors
2017-04-30,2017,4,2017,1281164.5395015376,All Other Sectors
2017-05-31,2017,5,2017,1446406.530335764,All Other Sectors
2017-06-30,2017,6,2017,1663632.3559878378,All Other Sectors
2017-07-31,2017,7,2018,2118728.8304296597,All Other Sectors
2017-08-31,2017,8,2018,2204700.76052791,All Other Sectors
2017-09-30,2017,9,2018,1349352.7597616217,All Other Sectors
2017-10-31,2017,10,2018,1323514.3090190934,All Other Sectors
2017-11-30,2017,11,2018,1432648.6365989288,All Other Sectors
2017-12-31,2017,12,2018,1329242.7615090965,All Other Sectors
2018-01-31,2018,1,2018,1306655.683548653,All Other Sectors
2018-02-28,2018,2,2018,1482917.1328555201,All Other Sectors
2018-03-31,2018,3,2018,1305480.263439207,All Other Sectors
2018-04-30,2018,4,2018,1245536.4562318309,All Other Sectors
2018-05-31,2018,5,2018,1511745.6883073032,All Other Sectors
2018-06-30,2018,6,2018,1785871.9316174432,All Other Sectors
2018-07-31,2018,7,2019,1992429.0258731833,All Other Sectors
2018-08-31,2018,8,2019,2245911.889227406,All Other Sectors
2018-09-30,2018,9,2019,1360685.6866117783,All Other Sectors
2018-10-31,2018,10,2019,1333946.9586401859,All Other Sectors
2018-11-30,2018,11,2019,1437329.7696839317,All Other Sectors
2018-12-31,2018,12,2019,1327517.8768637623,All Other Sectors
2019-01-31,2019,1,2019,1310899.5554190215,All Other Sectors
2019-02-28,2019,2,2019,1526200.9097466234,All Other Sectors
2019-03-31,2019,3,2019,1277202.012180573,All Other Sectors
2019-04-30,2019,4,2019,1187240.7296650517,All Other Sectors
2019-05-31,2019,5,2019,1561778.439222812,All Other Sectors
2019-06-30,2019,6,2019,1896273.4258002087,All Other Sectors
2019-07-31,2019,7,2020,1918080.9241583264,All Other Sectors
2019-08-31,2019,8,2020,2355250.589190127,All Other Sectors
2019-09-30,2019,9,2020,1412306.838623757,All Other Sectors
2019-10-31,2019,10,2020,1383684.0950350706,All Other Sectors
2019-11-30,2019,11,2020,1484010.8201022118,All Other Sectors
2019-12-31,2019,12,2020,1364686.8452963666,All Other Sectors
2020-01-31,2020,1,2020,1354151.4158959198,All Other Sectors
2020-02-29,2020,2,2020,1457502.5689588238,All Other Sectors
2020-03-31,2020,3,2020,1418838.9562629224,All Other Sectors
2020-04-30,2020,4,2020,1426156.3707746016,All Other Sectors
2020-05-31,2020,5,2020,1482484.795836825,All Other Sectors
2020-06-30,2020,6,2020,1631022.8139385548,All Other Sectors
2020-07-31,2020,7,2021,2272983.600519957,All Other Sectors
2020-08-31,2020,8,2021,2194040.296003951,All Other Sectors
2020-09-30,2020,9,2021,1356184.9796054242,All Other Sectors
2020-10-31,2020,10,2021,1330600.1028971844,All Other Sectors
2020-11-30,2020,11,2021,1446705.8801365127,All Other Sectors
2020-12-31,2020,12,2021,1348558.8530565694,All Other Sectors
2021-01-31,2021,1,2021,1320013.648826334,All Other Sectors
2021-02-28,2021,2,2021,1457987.7105235183,All Other Sectors
2021-03-31,2021,3,2021,1349830.1193581903,All Other Sectors
2021-04-30,2021,4,2021,1321851.9899368992,All Other Sectors
2021-05-31,2021,5,2021,1483215.2656872612,All Other Sectors
2021-06-30,2021,6,2021,1695938.3180203605,All Other Sectors
2021-07-31,2021,7,2022,2124083.1251476286,All Other Sectors
2021-08-31,2021,8,2022,2210183.7690430325,All Other Sectors
2021-09-30,2021,9,2022,1352656.1400120135,All Other Sectors
2021-10-31,2021,10,2022,1326703.796118659,All Other Sectors
2021-11-30,2021,11,2022,1436048.1143836824,All Other Sectors
2021-12-31,2021,12,2022,1332346.0852322,All Other Sectors
2022-01-31,2022,1,2022,1309687.511252395,All Other Sectors
2022-02-28,2022,2,2022,1486338.7179741182,All Other Sectors
2022-03-31,2022,3,2022,1308478.8168836222,All Other Sectors
2022-04-30,2022,4,2022,1248384.752404125,All Other Sectors
2022-05-31,2022,5,2022,1515186.994207635,All Other Sectors
2022-06-30,2022,6,2022,1789928.2664124977,All Other Sectors
2022-07-31,2022,7,2023,1977787.35483443,All Other Sectors
2022-08-31,2022,8,2023,2229396.9906108496,All Other Sectors
2022-09-30,2022,9,2023,1350674.0008551446,All Other Sectors
2022-10-31,2022,10,2023,1324125.8010427745,All Other Sectors
2022-11-30,2022,11,2023,1426740.986162539,All Other Sectors
2022-12-31,2022,12,2023,1317731.9026664896,All Other Sectors
2023-01-31,2023,1,2023,1301229.9935405734,All Other Sectors
2023-02-28,2023,2,2023,1514936.822706195,All Other Sectors
2023-03-31,2023,3,2023,1267769.7270963772,All Other Sectors
2023-04-30,2023,4,2023,1178467.4896505824,All Other Sectors
2023-05-31,2023,5,2023,1550230.2735968519,All Other Sectors
2023-06-30,2023,6,2023,1882243.4221230992,All Other Sectors
2023-07-31,2023,7,2024,1866773.4638829087,All Other Sectors
2023-08-31,2023,8,2024,2292238.4296539426,All Other Sectors
2023-09-30,2023,9,2024,1374515.9134577396,All Other Sectors
2023-10-31,2023,10,2024,1346652.796087717,All Other Sectors
2023-11-30,2023,11,2024,1444287.9910338987,All Other Sectors
2023-12-31,2023,12,2024,1328151.8102390582,All Other Sectors
2024-01-31,2024,1,2024,1317892.3082568585,All Other Sectors
2024-02-29,2024,2,2024,1418469.9415028868,All Other Sectors
2024-03-31,2024,3,2024,1380835.3501377788,All Other Sectors
2024-04-30,2024,4,2024,1387950.5372927831,All Other Sectors
2024-05-31,2024,5,2024,1442763.2710392207,All Other Sectors
2024-06-30,2024,6,2024,1587314.2622786849,All Other Sectors
2024-07-31,2024,7,2025,2236078.3705898905,All Other Sectors
2024-08-31,2024,8,2025,2158406.8395871026,All Other Sectors
2024-09-30,2024,9,2025,1334153.179311528,All Other Sectors
2024-10-31,2024,10,2025,1308977.8905210744,All Other Sectors
2024-11-30,2024,11,2025,1423190.5913187736,All Other Sectors
2024-12-31,2024,12,2025,1326632.7587723515,All Other Sectors
2025-01-31,2025,1,2025,1298545.6784823758,All Other Sectors
2025-02-28,2025,2,2025,1434269.8343537934,All Other Sectors
2025-03-31,2025,3,2025,1327865.5834683038,All Other Sectors
2025-04-30,2025,4,2025,1300336.922036562,All Other Sectors
2025-05-31,2025,5,2025,1459067.061181246,All Other Sectors
2025-06-30,2025,6,2025,1668319.348055223,All Other Sectors
2013-07-31,2013,7,2014,913329.4544841623,Car and truck rental
2013-08-31,2013,8,2014,957001.3533538145,Car and truck rental
2013-09-30,2013,9,2014,600631.2721684137,Car and truck rental
2013-10-31,2013,10,2014,590822.1479492112,Car and truck rental
2013-11-30,2013,11,2014,639501.0152891485,Car and truck rental
2013-12-31,2013,12,2014,594038.3040587772,Car and truck rental
2014-01-31,2014,1,2014,584213.4649207284,Car and truck rental
2014-02-28,2014,2,2014,667995.1754154114,Car and truck rental
2014-03-31,2014,3,2014,593011.1731569581,Car and truck rental
2014-04-30,2014,4,2014,569188.8993179121,Car and truck rental
2014-05-31,2014,5,2014,695351.7574786813,Car and truck rental
2014-06-30,2014,6,2014,813947.2864284827,Car and truck rental
2014-07-31,2014,7,2015,919003.6537620919,Car and truck rental
2014-08-31,2014,8,2015,1040526.9224697206,Car and truck rental
2014-09-30,2014,9,2015,634241.4752395042,Car and truck rental
2014-10-31,2014,10,2015,624183.1919182562,Car and truck rental
2014-11-30,2014,11,2015,674533.7888309435,Car and truck rental
2014-12-31,2014,12,2015,627158.5378493207,Car and truck rental
2015-01-31,2015,1,2015,622915.0349785166,Car and truck rental
2015-02-28,2015,2,2015,726724.5786366598,Car and truck rental
2015-03-31,2015,3,2015,613769.2357405706,Car and truck rental
2015-04-30,2015,4,2015,570191.5489171036,Car and truck rental
2015-05-31,2015,5,2015,754184.2103933301,Car and truck rental
2015-06-30,2015,6,2015,901113.3625487739,Car and truck rental
2015-07-31,2015,7,2016,918327.0343271502,Car and truck rental
2015-08-31,2015,8,2016,1127034.5771685333,Car and truck rental
2015-09-30,2015,9,2016,667167.9316616345,Car and truck rental
2015-10-31,2015,10,2016,657064.901737539,Car and truck rental
2015-11-30,2015,11,2016,709021.6565382099,Car and truck rental
2015-12-31,2015,12,2016,660019.1642579504,Car and truck rental
2016-01-31,2016,1,2016,662118.5291960596,Car and truck rental
2016-02-29,2016,2,2016,705588.2650368945,Car and truck rental
2016-03-31,2016,3,2016,690992.2605751186,Car and truck rental
2016-04-30,2016,4,2016,706176.9976752214,Car and truck rental
2016-05-31,2016,5,2016,740950.21194202,Car and truck rental
2016-06-30,2016,6,2016,821797.8226873907,Car and truck rental
2016-07-31,2016,7,2017,1137239.929511446,Car and truck rental
2016-08-31,2016,8,2017,1104504.0465430785,Car and truck rental
2016-09-30,2016,9,2017,712893.074568632,Car and truck rental
2016-10-31,2016,10,2017,700193.95227054,Car and truck rental
2016-11-30,2016,11,2017,758263.0094455758,Car and truck rental
2016-12-31,2016,12,2017,702821.2069960531,Car and truck rental
2017-01-31,2017,1,2017,683423.1017924008,Car and truck rental
2017-02-28,2017,2,2017,763411.9946114699,Car and truck rental
2017-03-31,2017,3,2017,711158.6035857946,Car and truck rental
2017-04-30,2017,4,2017,703861.056222079,Car and truck rental
2017-05-31,2017,5,2017,795095.5535349526,Car and truck rental
2017-06-30,2017,6,2017,907035.6501036567,Car and truck rental
2017-07-31,2017,7,2018,1132564.2783009252,Car and truck rental
2017-08-31,2017,8,2018,1184908.8054231545,Car and truck rental
2017-09-30,2017,9,2018,742581.7465922303,Car and truck rental
2017-10-31,2017,10,2018,729354.7343374325,Car and truck rental
2017-11-30,2017,11,2018,788307.3114992274,Car and truck rental
2017-12-31,2017,12,2018,731182.3315405977,Car and truck rental
2018-01-31,2018,1,2018,718029.8363860478,Car and truck rental
2018-02-28,2018,2,2018,819918.4674461576,Car and truck rental
2018-03-31,2018,3,2018,726825.7906687362,Car and truck rental
2018-04-30,2018,4,2018,696657.7063720034,Car and truck rental
2018-05-31,2018,5,2018,849861.6810155691,Car and truck rental
2018-06-30,2018,6,2018,993449.1541900347,Car and truck rental
2018-07-31,2018,7,2019,1120102.0129162557,Car and truck rental
2018-08-31,2018,8,2019,1266455.0110018584,Car and truck rental
2018-09-30,2018,9,2019,770928.6654898329,Car and truck rental
2018-10-31,2018,10,2019,757670.5413950315,Car and truck rental
2018-11-30,2018,11,2019,817719.9853812872,Car and truck rental
2018-12-31,2018,12,2019,759270.756383586,Car and truck rental
2019-01-31,2019,1,2019,753132.4707376007,Car and truck rental
2019-02-28,2019,2,2019,877607.8908408189,Car and truck rental
2019-03-31,2019,3,2019,740241.5462854803,Car and truck rental
2019-04-30,2019,4,2019,686838.0549514999,Car and truck rental
2019-05-31,2019,5,2019,907324.8654584826,Car and truck rental
2019-06-30,2019,6,2019,1082775.6928508074,Car and truck rental
2019-07-31,2019,7,2020,1134396.1314663347,Car and truck rental
2019-08-31,2019,8,2020,1390494.7621534443,Car and truck rental
2019-09-30,2019,9,2020,822157.0958924587,Car and truck rental
2019-10-31,2019,10,2020,808728.0171513228,Car and truck rental
2019-11-30,2019,11,2020,871664.1597507512,Car and truck rental
2019-12-31,2019,12,2020,810467.466846536,Car and truck rental
2020-01-31,2020,1,2020,812097.4043899714,Car and truck rental
2020-02-29,2020,2,2020,864506.3363569446,Car and truck rental
2020-03-31,2020,3,2020,845681.2150466662,Car and truck rental
2020-04-30,2020,4,2020,863341.9921320006,Car and truck rental
2020-05-31,2020,5,2020,904894.8273965257,Car and truck rental
2020-06-30,2020,6,2020,1002609.9686408673,Car and truck rental
2020-07-31,2020,7,2021,1343899.7735947387,Car and truck rental
2020-08-31,2020,8,2021,1303864.8165414177,Car and truck rental
2020-09-30,2020,9,2021,840732.5023655335,Car and truck rental
2020-10-31,2020,10,2021,824947.3151932325,Car and truck rental
2020-11-30,2020,11,2021,892521.8871211137,Car and truck rental
2020-12-31,2020,12,2021,826728.505931356,Car and truck rental
2021-01-31,2021,1,2021,803394.2841963196,Car and truck rental
2021-02-28,2021,2,2021,896907.7327049896,Car and truck rental
2021-03-31,2021,3,2021,835004.2762570389,Car and truck rental
2021-04-30,2021,4,2021,825948.5054683307,Car and truck rental
2021-05-31,2021,5,2021,932461.7752999351,Car and truck rental
2021-06-30,2021,6,2021,1063142.8376681737,Car and truck rental
2021-07-31,2021,7,2022,1312658.5011834288,Car and truck rental
2021-08-31,2021,8,2022,1372562.2467836775,Car and truck rental
2021-09-30,2021,9,2022,859723.8622666671,Car and truck rental
2021-10-31,2021,10,2022,843951.9098972151,Car and truck rental
2021-11-30,2021,11,2022,911691.1765280563,Car and truck rental
2021-12-31,2021,12,2022,845172.1548115885,Car and truck rental
2022-01-31,2022,1,2022,829532.9778555,Car and truck rental
2022-02-28,2022,2,2022,946797.0835689026,Car and truck rental
2022-03-31,2022,3,2022,838863.2709788034,Car and truck rental
2022-04-30,2022,4,2022,803643.7937878116,Car and truck rental
2022-05-31,2022,5,2022,979873.3097368745,Car and truck rental
2022-06-30,2022,6,2022,1144862.7519684525,Car and truck rental
2022-07-31,2022,7,2023,1277789.8370809294,Car and truck rental
2022-08-31,2022,8,2023,1444020.8114311788,Car and truck rental
2022-09-30,2022,9,2023,878593.7413421585,Car and truck rental
2022-10-31,2022,10,2023,863055.9103587567,Car and truck rental
2022-11-30,2022,11,2023,931013.6213780731,Car and truck rental
2022-12-31,2022,12,2023,864043.1776237083,Car and truck rental
2023-01-31,2023,1,2023,856641.0110130515,Car and truck rental
2023-02-28,2023,2,2023,997788.1422518693,Car and truck rental
2023-03-31,2023,3,2023,841206.3851657651,Car and truck rental
2023-04-30,2023,4,2023,780158.3095282752,Car and truck rental
2023-05-31,2023,5,2023,1030113.5330426049,Car and truck rental
2023-06-30,2023,6,2023,1228747.2536935532,Car and truck rental
2023-07-31,2023,7,2024,1261644.8995959503,Car and truck rental
2023-08-31,2023,8,2024,1545750.8216186473,Car and truck rental
2023-09-30,2023,9,2024,913545.9589765343,Car and truck rental
2023-10-31,2023,10,2024,898210.8473496165,Car and truck rental
2023-11-30,2023,11,2024,967682.4005322235,Car and truck rental
2023-12-31,2023,12,2024,899335.8278863631,Car and truck rental
2024-01-31,2024,1,2024,900737.6373052516,Car and truck rental
2024-02-29,2024,2,2024,958464.4240724671,Car and truck rental
2024-03-31,2024,3,2024,937175.0425573243,Car and truck rental
2024-04-30,2024,4,2024,956335.9776870148,Car and truck rental
2024-05-31,2024,5,2024,1001922.8481921224,Car and truck rental
2024-06-30,2024,6,2024,1109644.9156794257,Car and truck rental
2024-07-31,2024,7,2025,1502863.6202567546,Car and truck rental
2024-08-31,2024,8,2025,1457462.0000061446,Car and truck rental
2024-09-30,2024,9,2025,939380.7198791965,Car and truck rental
2024-10-31,2024,10,2025,921349.129218162,Car and truck rental
2024-11-30,2024,11,2025,996410.1884886998,Car and truck rental
2024-12-31,2024,12,2025,922568.4474004911,Car and truck rental
2025-01-31,2025,1,2025,896152.498719992,Car and truck rental
2025-02-28,2025,2,2025,1000085.3033491677,Car and truck rental
2025-03-31,2025,3,2025,930673.9030035099,Car and truck rental
2025-04-30,2025,4,2025,920212.6657201059,Car and truck rental
2025-05-31,2025,5,2025,1038455.587084155,Car and truck rental
2025-06-30,2025,6,2025,1183523.5816172739,Car and truck rental
2013-07-31,2013,7,2014,633252.7160668238,Construction
2013-08-31,2013,8,2014,678345.8236142828,Construction
2013-09-30,2013,9,2014,426806.8180999807,Construction
2013-10-31,2013,10,2014,426376.2418819115,Construction
2013-11-30,2013,11,2014,464291.2304904557,Construction
2013-12-31,2013,12,2014,433387.05041448027,Construction
2014-01-31,2014,1,2014,428161.1725777656,Construction
2014-02-28,2014,2,2014,494402.9010899573,Construction
2014-03-31,2014,3,2014,441553.51966543414,Construction
2014-04-30,2014,4,2014,425218.3597171583,Construction
2014-05-31,2014,5,2014,518156.5843263672,Construction
2014-06-30,2014,6,2014,610870.6381082372,Construction
2014-07-31,2014,7,2015,700107.0965505785,Construction
2014-08-31,2014,8,2015,805740.5450474253,Construction
2014-09-30,2014,9,2015,490859.68080119,Construction
2014-10-31,2014,10,2015,485687.8493729737,Construction
2014-11-30,2014,11,2015,530613.2291515402,Construction
2014-12-31,2014,12,2015,494999.323441737,Construction
2015-01-31,2015,1,2015,500542.4113637516,Construction
2015-02-28,2015,2,2015,573417.5182944884,Construction
2015-03-31,2015,3,2015,495338.1875028832,Construction
2015-04-30,2015,4,2015,465870.2060477612,Construction
2015-05-31,2015,5,2015,600761.8298844784,Construction
2015-06-30,2015,6,2015,720754.8200831589,Construction
2015-07-31,2015,7,2016,757758.1179277173,Construction
2015-08-31,2015,8,2016,939162.3455520733,Construction
2015-09-30,2015,9,2016,554169.1962535497,Construction
2015-10-31,2015,10,2016,543447.9275756177,Construction
2015-11-30,2015,11,2016,596118.3055940879,Construction
2015-12-31,2015,12,2016,556175.839328701,Construction
2016-01-31,2016,1,2016,575513.236004275,Construction
2016-02-29,2016,2,2016,619756.1919825278,Construction
2016-03-31,2016,3,2016,587839.6628578488,Construction
2016-04-30,2016,4,2016,590515.6968128342,Construction
2016-05-31,2016,5,2016,635391.1060888647,Construction
2016-06-30,2016,6,2016,706272.3524382666,Construction
2016-07-31,2016,7,2017,946377.3877110318,Construction
2016-08-31,2016,8,2017,929935.5901881155,Construction
2016-09-30,2016,9,2017,594940.1778223498,Construction
2016-10-31,2016,10,2017,590736.6178261501,Construction
2016-11-30,2016,11,2017,631742.7047298471,Construction
2016-12-31,2016,12,2017,581186.2281963455,Construction
2017-01-31,2017,1,2017,552166.5648309967,Construction
2017-02-28,2017,2,2017,633419.7125480513,Construction
2017-03-31,2017,3,2017,576069.547918235,Construction
2017-04-30,2017,4,2017,560058.6069040461,Construction
2017-05-31,2017,5,2017,636551.2276382847,Construction
2017-06-30,2017,6,2017,725176.8265886065,Construction
2017-07-31,2017,7,2018,892862.8176740776,Construction
2017-08-31,2017,8,2018,942610.0371716403,Construction
2017-09-30,2017,9,2018,584873.0465739494,Construction
2017-10-31,2017,10,2018,576026.6404431149,Construction
2017-11-30,2017,11,2018,618766.9769167791,Construction
2017-12-31,2017,12,2018,569601.8998133264,Construction
2018-01-31,2018,1,2018,555047.1581507418,Construction
2018-02-28,2018,2,2018,633090.7709030905,Construction
2018-03-31,2018,3,2018,557854.1457153249,Construction
2018-04-30,2018,4,2018,530335.5566612239,Construction
2018-05-31,2018,5,2018,637786.8103712972,Construction
2018-06-30,2018,6,2018,742474.9656302072,Construction
2018-07-31,2018,7,2019,840021.7243815374,Construction
2018-08-31,2018,8,2019,954492.3940674058,Construction
2018-09-30,2018,9,2019,574405.441742766,Construction
2018-10-31,2018,10,2019,561279.7968615377,Construction
2018-11-30,2018,11,2019,605881.9709204189,Construction
2018-12-31,2018,12,2019,558316.5333934766,Construction
2019-01-31,2019,1,2019,557743.1842590334,Construction
2019-02-28,2019,2,2019,632028.200023817,Construction
2019-03-31,2019,3,2019,539485.6449879627,Construction
2019-04-30,2019,4,2019,501615.67414255143,Construction
2019-05-31,2019,5,2019,639318.7248258872,Construction
2019-06-30,2019,6,2019,758437.7814674143,Construction
2019-07-31,2019,7,2020,811354.1724389972,Construction
2019-08-31,2019,8,2020,994179.1275565615,Construction
2019-09-30,2019,9,2020,580249.753098756,Construction
2019-10-31,2019,10,2020,562681.5925211881,Construction
2019-11-30,2019,11,2020,610613.2841076477,Construction
2019-12-31,2019,12,2020,563464.9392081017,Construction
2020-01-31,2020,1,2020,576728.1223481668,Construction
2020-02-29,2020,2,2020,614812.4097432022,Construction
2020-03-31,2020,3,2020,576926.862433559,Construction
2020-04-30,2020,4,2020,573613.9599380041,Construction
2020-05-31,2020,5,2020,617123.933271213,Construction
2020-06-30,2020,6,2020,685880.0377830687,Construction
2020-07-31,2020,7,2021,891020.9120243352,Construction
2020-08-31,2020,8,2021,875433.537190692,Construction
2020-09-30,2020,9,2021,560005.0864654526,Construction
2020-10-31,2020,10,2021,555984.4102100728,Construction
2020-11-30,2020,11,2021,594511.8298135268,Construction
2020-12-31,2020,12,2021,546872.7588815249,Construction
2021-01-31,2021,1,2021,519507.31856483966,Construction
2021-02-28,2021,2,2021,595893.1662352402,Construction
2021-03-31,2021,3,2021,541884.7304965103,Construction
2021-04-30,2021,4,2021,526771.1431392065,Construction
2021-05-31,2021,5,2021,598665.3822322633,Construction
2021-06-30,2021,6,2021,681958.7643579463,Construction
2021-07-31,2021,7,2022,830679.6394595,Construction
2021-08-31,2021,8,2022,876894.3534641336,Construction
2021-09-30,2021,9,2022,544056.7589929241,Construction
2021-10-31,2021,10,2022,535787.0949458193,Construction
2021-11-30,2021,11,2022,575499.3887351105,Construction
2021-12-31,2021,12,2022,529731.8435083544,Construction
2022-01-31,2022,1,2022,516156.4542444651,Construction
2022-02-28,2022,2,2022,588691.0411738491,Construction
2022-03-31,2022,3,2022,518691.0753792872,Construction
2022-04-30,2022,4,2022,493067.65828609694,Construction
2022-05-31,2022,5,2022,592922.3254400993,Construction
2022-06-30,2022,6,2022,690194.6392033459,Construction
2022-07-31,2022,7,2023,773321.8589958821,Construction
2022-08-31,2022,8,2023,878634.9670730171,Construction
2022-09-30,2022,9,2023,528715.2109573061,Construction
2022-10-31,2022,10,2023,516593.2660055366,Construction
2022-11-30,2022,11,2023,557602.1532142411,Construction
2022-12-31,2022,12,2023,513786.6313740583,Construction
2023-01-31,2023,1,2023,513218.6063531695,Construction
2023-02-28,2023,2,2023,581532.0032389442,Construction
2023-03-31,2023,3,2023,496343.91082548123,Construction
2023-04-30,2023,4,2023,461466.9136333187,Construction
2023-05-31,2023,5,2023,588101.5981672737,Construction
2023-06-30,2023,6,2023,697623.9597381845,Construction
2023-07-31,2023,7,2024,731693.3025327852,Construction
2023-08-31,2023,8,2024,896496.1819403014,Construction
2023-09-30,2023,9,2024,523196.705939243,Construction
2023-10-31,2023,10,2024,507315.0690553166,Construction
2023-11-30,2023,11,2024,550487.3735711116,Construction
2023-12-31,2023,12,2024,507940.50790087954,Construction
2024-01-31,2024,1,2024,519854.52045108116,Construction
2024-02-29,2024,2,2024,554140.9643856449,Construction
2024-03-31,2024,3,2024,519951.6453881347,Construction
2024-04-30,2024,4,2024,516924.989128815,Construction
2024-05-31,2024,5,2024,556089.3597419081,Construction
2024-06-30,2024,6,2024,617996.1917575905,Construction
2024-07-31,2024,7,2025,811483.2765265404,Construction
2024-08-31,2024,8,2025,797221.4167943022,Construction
2024-09-30,2024,9,2025,509932.76291547116,Construction
2024-10-31,2024,10,2025,506229.52440098627,Construction
2024-11-30,2024,11,2025,541265.4945468034,Construction
2024-12-31,2024,12,2025,497851.5393470809,Construction
2025-01-31,2025,1,2025,472899.50511032506,Construction
2025-02-28,2025,2,2025,542391.2274222276,Construction
2025-03-31,2025,3,2025,493190.38995515776,Construction
2025-04-30,2025,4,2025,479395.7666522184,Construction
2025-05-31,2025,5,2025,544778.0636568781,Construction
2025-06-30,2025,6,2025,620523.0519980352,Construction
2013-07-31,2013,7,2014,1088901.9867344138,Hotels
2013-08-31,2013,8,2014,1131711.4395461818,Hotels
2013-09-30,2013,9,2014,708053.6300844931,Hotels
2013-10-31,2013,10,2014,689667.3528030649,Hotels
2013-11-30,2013,11,2014,741335.3669954466,Hotels
2013-12-31,2013,12,2014,689585.7273469589,Hotels
2014-01-31,2014,1,2014,681155.968494909,Hotels
2014-02-28,2014,2,2014,772692.3096751218,Hotels
2014-03-31,2014,3,2014,686670.9790124433,Hotels
2014-04-30,2014,4,2014,657713.8391484597,Hotels
2014-05-31,2014,5,2014,814392.6451237873,Hotels
2014-06-30,2014,6,2014,950979.8252680756,Hotels
2014-07-31,2014,7,2015,1104652.3309283752,Hotels
2014-08-31,2014,8,2015,1240014.4879608562,Hotels
2014-09-30,2014,9,2015,751066.7722916683,Hotels
2014-10-31,2014,10,2015,737491.5633656068,Hotels
2014-11-30,2014,11,2015,793755.8090682303,Hotels
2014-12-31,2014,12,2015,738892.2595949107,Hotels
2015-01-31,2015,1,2015,724505.0854057955,Hotels
2015-02-28,2015,2,2015,858810.8674655207,Hotels
2015-03-31,2015,3,2015,710018.1653234651,Hotels
2015-04-30,2015,4,2015,659422.2063008517,Hotels
2015-05-31,2015,5,2015,897362.2086455135,Hotels
2015-06-30,2015,6,2015,1070626.687750345,Hotels
2015-07-31,2015,7,2016,1111265.714599389,Hotels
2015-08-31,2015,8,2016,1352283.6667586844,Hotels
2015-09-30,2015,9,2016,792941.0062220859,Hotels
2015-10-31,2015,10,2016,785278.948377693,Hotels
2015-11-30,2015,11,2016,846269.879375413,Hotels
2015-12-31,2015,12,2016,788437.49793232,Hotels
2016-01-31,2016,1,2016,767702.6957303851,Hotels
2016-02-29,2016,2,2016,809939.1216453454,Hotels
2016-03-31,2016,3,2016,830530.0051403297,Hotels
2016-04-30,2016,4,2016,844014.0916344447,Hotels
2016-05-31,2016,5,2016,872366.396808189,Hotels
2016-06-30,2016,6,2016,960640.0443986625,Hotels
2016-07-31,2016,7,2017,1397732.637044617,Hotels
